"Nadine Meidert",,,,,
"Luisa Barthauer"," Elena Stasewitsch"," Lisa Handke"," Matthew Sitch",,
"Eelke Heemskerk"," Joshua Murray",,,,
"Elizabeth West"," David Barron"," Francesca Pallotti",,,
"Aline Deicke"," Martin Stark"," Marten Düring",,,
"Filip Agneessens"," Alexandra Gerbasi"," Giuseppe Labianca"," Joshua Marineau"," Károly Takács"," Patrick Doreian"
"Joan-Miquel Verd"," Oriol Barranco"," Dafne Muntanyola-Saura",,,
"Marina Hennig",,,,,
"Nadine Meidert",,,,,
"Tom Snijders"," James Hollway"," Christoph Stadtfeld",,,
"Eelke Heemskerk"," Joshua Murray",,,,
"Elizabeth West"," David Barron"," Francesca Pallotti",,,
"Aline Deicke"," Martin Stark"," Marten Düring",,,
"Filip Agneessens"," Alexandra Gerbasi"," Giuseppe Labianca"," Joshua Marineau"," Károly Takács"," Patrick Doreian"
"Joan-Miquel Verd"," Oriol Barranco"," Dafne Muntanyola-Saura",,,
"Johannes Glückler"," Robert Panitz",,,,
"Marina Hennig",,,,,
"Wolfgang Alschner"," Urška Šadl"," Fabien Tarissan",,,
"Tom Snijders"," James Hollway"," Christoph Stadtfeld",,,
"Elizabeth West"," David Barron"," Francesca Pallotti",,,
"Aline Deicke"," Martin Stark"," Marten Düring",,,
"Filip Agneessens"," Alexandra Gerbasi"," Giuseppe Labianca"," Joshua Marineau"," Károly Takács"," Patrick Doreian"
"Marina Hennig",,,,,
"Johannes Glückler"," Robert Panitz",,,,
"Tom Snijders"," James Hollway"," Christoph Stadtfeld",,,
"Eelke Heemskerk"," Joshua Murray",,,,
"Marina Hennig",,,,,
"Lea Ellwardt"," Sylvia Keim"," Andreas Klärner"," Markus Gamper",,
"Alina Vladimirova",,,,,
"Johannes Glückler"," Robert Panitz",,,,
"Marina Hennig",,,,,
"Marc Sarazin"," Martin Rehm"," Dominik Froehlich",,,
"Stefan Bernhard"," Luisa Peters"," Inga Truschkat"," Andreas Herz",,
"Manuel Fischer"," Dimitris Christopoulos",,,,
"Tom Snijders"," Christian Steglich",,,,
"Marina Hennig",,,,,
"Lars Leszczensky"," Hanno Kruse"," Clemens Kroneberg",,,
"Olaf Rank"," Kerstin Sailer",,,,
"Marc Sarazin"," Martin Rehm"," Dominik Froehlich",,,
"Stefan Bernhard"," Luisa Peters"," Inga Truschkat"," Andreas Herz",,
"Manuel Fischer"," Dimitris Christopoulos",,,,
"Tom Snijders"," Christian Steglich",,,,
"Nikita Basov"," Iina Hellsten"," Adina Nerghes"," Camille Roth"," Johanne Saint-Charles",
"Francesca Pallotti"," Paola Zappa"," Spyros Angelopoulos",,,
"Lars Leszczensky"," Hanno Kruse"," Clemens Kroneberg",,,
"Olaf Rank"," Kerstin Sailer",,,,
"Marina Hennig",,,,,
"Marc Sarazin"," Martin Rehm"," Dominik Froehlich",,,
"Stefan Bernhard"," Luisa Peters"," Inga Truschkat"," Andreas Herz",,
"Manuel Fischer"," Dimitris Christopoulos",,,,
"Marina Hennig",,,,,
"Nikita Basov"," Iina Hellsten"," Adina Nerghes"," Camille Roth"," Johanne Saint-Charles",
"Francesca Pallotti"," Paola Zappa"," Spyros Angelopoulos",,,
"Martin Stark"," Bettina Lelong"," Marco Schmitt"," Britta Rösener",,
"Tom Töpfer"," Raphael Heiberger",,,,
"Maria Prosperina Vitale"," Giuseppe Giordano"," Giancarlo Ragozini",,,
"Marc Sarazin"," Martin Rehm"," Dominik Froehlich",,,
"Stefan Bernhard"," Luisa Peters"," Inga Truschkat"," Andreas Herz",,
